Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
Methagu,100,"Biography, History",9.5,Not Rated,Kittu,"Lizzie Antony, Eshwar Basha, Chandrasekar, Kutti Mani",8650,2021,0.0,Biography
Jai Bhim,164,"Crime, Drama, Mystery",9.3,TV-MA,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan",175282,2021,0.0,Crime
The Chaos Class,87,"Comedy, Drama",9.3,Not Rated,Ertem Egilmez,"Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan",39749,1975,0.0,Comedy
The Shawshank Redemption,142,Drama,9.3,R,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",2548959,1994,28.34,Drama
The Godfather,175,"Crime, Drama",9.2,R,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",1753202,1972,134.97,Crime
Mirror Game,147,"Crime, Mystery, Thriller",9.1,Not Rated,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George",25624,2016,0.0,Crime
Soorarai Pottru,153,Drama,9.1,TV-MA,Sudha Kongara,"Suriya, Paresh Rawal, Mohan Babu, Gaurav Pareek",107596,2020,0.0,Drama
Aloko Udapadi,113,"Drama, History",9.0,Not Rated,Chathra Weeraman,"Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris",6760,2017,0.0,Drama
#Home,158,Drama,9.0,Not Rated,Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai, Naslen",11829,2021,0.0,Drama
The Dark Knight,152,"Action, Crime, Drama",9.0,PG-13,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2499388,2008,534.86,Action
Tosun Pasa,90,"Comedy, History",9.0,Not Rated,Kartal Tibet,"Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen",22906,1976,0.0,Comedy
The Message,207,"Biography, Drama, History",9.0,Not Rated,Moustapha Akkad,"Abdallah Gheith, Mona Wassef, Hamdy Gheith, Ali Achmed Taram",8884,1976,0.0,Biography
The Godfather: Part II,202,"Crime, Drama",9.0,R,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",1215808,1974,57.3,Crime
12 Angry Men,96,"Crime, Drama",9.0,Approved,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",753244,1957,4.36,Crime
Toma,140,"Biography, Drama, Music",8.9,Not Rated,Dragan Bjelogrlic,"Milan Maric, Tamara Dragicevic, Petar Bencina, Andrija Kuzmanovic",10208,2021,0.0,Biography
Peranbu,147,Drama,8.9,Not Rated,Ram,"Mammootty, Sadhana, Anjali, Anjali Ameer",14526,2018,0.0,Drama
C/o Kancharapalem,152,Drama,8.9,Not Rated,Venkatesh Maha,"Radha Bessy, Subba Rao Vepada, Praneeta Patnaik, Karthik Rathnam",6472,2018,0.0,Drama
Natsamrat,166,"Drama, Family",8.9,Not Rated,Mahesh Manjrekar,"Nana Patekar, Medha Manjrekar, Mrunmayee Deshpande, Sunil Barve",6410,2016,0.0,Drama
Love on a Leash,90,"Comedy, Drama, Fantasy",8.9,Not Rated,Fen Tian,"Gloria Winship Ayon, Shane Ayon, Jana Camp, Stephen Kramer Glickman",7345,2011,0.0,Comedy
Süt Kardesler,80,"Comedy, Family, Mystery",8.9,Not Rated,Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe, Hale Soygazi",19668,1976,0.0,Comedy
The Chaos Class Failed the Class,91,Comedy,8.9,Not Rated,Ertem Egilmez,"Kemal Sunal, Münir Özkul, Semra Özdamar, Adile Nasit",23059,1976,0.0,Comedy
Kireedam,124,"Action, Drama",8.9,Not Rated,Sibi Malayil,"Mohanlal, Thilakan, Kaviyoor Ponnamma, Parvathi",7327,1989,0.0,Action
The Lord of the Rings: The Return of the King,201,"Action, Adventure, Drama",8.9,PG-13,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1756885,2003,377.85,Action
Pulp Fiction,154,"Crime, Drama",8.9,R,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",1960161,1994,107.93,Crime
Schindler's List,195,"Biography, Drama, History",8.9,R,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",1300923,1993,96.9,Biography
Balkan Spy,95,"Comedy, Drama",8.9,Not Rated,Dusan Kovacevic,"Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac, Sonja Savic",11341,1984,0.0,Comedy
The Marathon Family,92,"Comedy, Drama",8.9,Not Rated,Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic, Mija Aleksic",15609,1982,0.0,Comedy
Pariyerum Perumal,154,Drama,8.8,Not Rated,Mari Selvaraj,"Kathir, Anandhi, Yogi Babu, Lijeesh",14958,2018,0.0,Drama
The Phantom of the Opera at the Royal Albert Hall,137,"Drama, Music, Musical",8.8,Not Rated,Nick Morris,"Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson",8956,2011,0.0,Drama
Les Misérables in Concert: The 25th Anniversary,178,"Drama, Music, Musical",8.8,Not Rated,Nick Morris,"Alfie Boe, Norm Lewis, Matt Lucas, Jenny Galloway",5893,2010,0.0,Drama
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,138,"Animation, Action, Fantasy",8.8,Not Rated,Haruo Sotozaki,error,8349,2020,0.0,Animation
Inception,148,"Action, Adventure, Sci-Fi",8.8,PG-13,Christopher Nolan,error,2238483,2010,292.58,Action
The Chaos Class Is Waking Up,94,"Adventure, Comedy",8.8,Not Rated,Ertem Egilmez,error,19417,1977,0.0,Adventure
A Northern Story of Valor,168,"Drama, History",8.8,Not Rated,T. Hariharan,error,5163,1989,0.0,Drama
Manichithrathazhu,169,"Comedy, Horror, Music",8.8,Not Rated,Fazil,error,10250,1993,0.0,Comedy
Fight Club,139,Drama,8.8,R,David Fincher,error,2006636,1999,37.03,Drama
The Lord of the Rings: The Fellowship of the Ring,178,"Action, Adventure, Drama",8.8,PG-13,Peter Jackson,error,1778744,2001,315.54,Action
Forrest Gump,142,"Drama, Romance",8.8,PG-13,Robert Zemeckis,error,1966988,1994,330.25,Drama
Who's Singin' Over There?,86,"Adventure, Comedy, Drama",8.8,Not Rated,Slobodan Sijan,error,15174,1980,0.0,Adventure
"The Good, the Bad and the Ugly",178,"Adventure, Western",8.8,R,Sergio Leone,error,735179,1966,6.1,Adventure
The Human Condition III: A Soldier's Prayer,190,"Drama, History, War",8.8,Not Rated,Masaki Kobayashi,error,6020,1961,0.0,Drama
Kill Bill: The Whole Bloody Affair,247,"Action, Crime, Thriller",8.7,Not Rated,Quentin Tarantino,error,9024,2011,0.0,Action
The Mountain II,135,"Action, Drama, War",8.7,Not Rated,Alper Caglar,error,107588,2016,0.0,Action
Maanaadu,147,"Action, Adventure, Sci-Fi",8.7,PG-13,Venkat Prabhu,error,19625,2021,0.0,Action
Poove Unakkaga,150,"Comedy, Drama, Romance",8.7,Not Rated,Vikraman,error,6037,1996,0.0,Comedy
Monpura,136,"Crime, Drama, Musical",8.7,Not Rated,Giasuddin Selim,error,7431,2009,0.0,Crime
Attack on Titan: Chronicle,122,"Animation, Action, Adventure",8.7,Not Rated,Masashi Koizuka,error,9322,2020,0.0,Animation
Sarpatta Parambarai,173,"Action, Drama, Sport",8.7,Not Rated,Pa. Ranjith,error,20205,2021,0.0,Action
Spider-Man: No Way Home,148,"Action, Adventure, Fantasy",8.7,PG-13,Jon Watts,error,471111,2021,0.0,Action
Dara of Jasenovac,130,"Drama, War",8.7,R,Predrag Antonijevic,"Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic",80400,2020,0.0,Drama
Shershaah,135,"Action, Biography, Drama",8.7,TV-14,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri",113374,2021,0.0,Action
Sardar Udham,164,"Biography, Crime, Drama",8.7,TV-MA,Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar",36429,2021,0.0,Biography
Happy Days,92,"Comedy, Drama, Family",8.7,Not Rated,Orhan Aksoy,"Münir Özkul, Adile Nasit, Sener Sen, Aysen Gruda",10938,1978,0.0,Comedy
Anbe Sivam,160,"Adventure, Comedy, Drama",8.7,Not Rated,Sundar C.,"Kamal Haasan, Madhavan, Kiran Rathod, Nassar",20169,2003,0.0,Adventure
Devasuram,187,"Action, Drama, Thriller",8.7,Not Rated,I.V. Sasi,"Mohanlal, Revathi, Nedumudi Venu, Innocent",5575,1993,0.0,Action
A Dog's Will,104,"Comedy, Drama, Fantasy",8.7,Not Rated,Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga",13863,2000,0.0,Comedy
My Dear Brother,92,Drama,8.7,Not Rated,Ertem Egilmez,"Tarik Akan, Kahraman Kiral, Halit Akçatepe, Metin Akpinar",9324,1973,0.0,Drama
"Saban, Son of Saban",90,"Comedy, Crime, Mystery",8.7,Not Rated,Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen, Sevda Aktolga",17389,1977,0.0,Comedy
Kibar Feyzo,83,"Comedy, Romance",8.7,Not Rated,Atif Yilmaz,"Kemal Sunal, Sener Sen, Ilyas Salman, Adile Nasit",16011,1978,0.0,Comedy
The Chaos Class Is on Vacation,97,"Adventure, Comedy, Drama",8.7,Not Rated,Ertem Egilmez,"Sevda Aktolga, Ahmet Ariman, Filiz Bozkurt, Aysen Gruda",17572,1977,0.0,Adventure
The Broken Landlord,101,"Comedy, Drama",8.7,Not Rated,Nesli Çölgeçen,"Sener Sen, Erdal Özyagcilar, Nilgün Nazli, Füsun Demirel",14996,1985,0.0,Comedy
Barking at the Stars,95,"Comedy, Romance",8.7,Not Rated,Zdravko Sotra,"Dragan Micanovic, Natasa Tapuskovic, Nikola Simic, Velimir 'Bata' Zivojinovic",7388,1998,0.0,Comedy
The Lord of the Rings: The Two Towers,179,"Action, Adventure, Drama",8.7,PG,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",1587360,2002,342.55,Action
The Matrix,136,"Action, Sci-Fi",8.7,R,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",1838504,1999,171.48,Action
"Pretty Village, Pretty Flame",115,"Comedy, Drama, History",8.7,Not Rated,Srdjan Dragojevic,"Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic, Zoran Cvijanovic",16208,1996,0.0,Comedy
Thevar Magan,145,Drama,8.7,Not Rated,Bharathan,"Kamal Haasan, Shivaji Ganesan, Nassar, Revathi",6813,1992,0.0,Drama
Goodfellas,146,"Biography, Crime, Drama",8.7,R,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",1101449,1990,46.84,Biography
Nayakan,145,"Crime, Drama",8.7,Not Rated,Mani Ratnam,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janakaraj",19260,1987,0.0,Crime
Star Wars: Episode V - The Empire Strikes Back,124,"Action, Adventure, Fantasy",8.7,PG,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1235548,1980,290.48,Action
One Flew Over the Cuckoo's Nest,133,Drama,8.7,R,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco",973987,1975,112.0,Drama
The Witness,105,"Drama, Comedy",8.7,Not Rated,Péter Bacsó,"Ferenc Kállai, Lajos Öze, Béla Both, Zoltán Fábri",6764,1969,0.0,Drama
Asuran,141,"Action, Drama",8.6,Not Rated,Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy",25266,2019,0.0,Action
Jersey,157,"Drama, Sport",8.6,Not Rated,Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj, Harish Kalyan",14250,2019,0.0,Drama
Kumbalangi Nights,135,"Comedy, Drama, Romance",8.6,Not Rated,Madhu C. Narayanan,"Shane Nigam, Soubin Shahir, Fahadh Faasil, Sreenath Bhasi",13605,2019,0.0,Comedy
Parasite,132,"Comedy, Drama, Thriller",8.6,R,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi",720085,2019,53.37,Comedy
Drishyam 2,152,"Crime, Drama, Thriller",8.6,PG-13,Jeethu Joseph,"Mohanlal, Meena, Ansiba, Esther Anil",33960,2021,0.0,Crime
Hridayam,172,"Drama, Musical, Romance",8.6,PG,Vineeth Sreenivasan,"Pranav Mohanlal, Kalyani Priyadarshan, Darshana Rajendran, Vijayaraghavan",5916,2022,0.0,Drama
Interstellar,169,"Adventure, Drama, Sci-Fi",8.6,PG-13,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",1693993,2014,188.02,Adventure
Graves End,90,"Thriller, Mystery",8.6,Not Rated,James Marlowe,"Eric Roberts, Steven Williams, Daniel Roebuck, Valerie Mikita",6648,2005,0.0,Thriller
City of God,130,"Crime, Drama",8.6,R,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen",735248,2002,7.56,Crime
Spadikam,150,"Action, Drama",8.6,Not Rated,Bhadran,"Mohanlal, Thilakan, Sphadikam George, Urvashi",5581,1995,0.0,Action
The Girl with the Red Scarf,90,"Drama, Romance",8.6,Not Rated,Atif Yilmaz,"Türkan Soray, Kadir Inanir, Ahmet Mekin, Hülya Tuglu",15703,1977,0.0,Drama
Çöpçüler Krali,80,"Comedy, Romance",8.6,Not Rated,Zeki Ökten,"Kemal Sunal, Sener Sen, Aysen Gruda, Ihsan Yüce",19790,1977,0.0,Comedy
Zübük,88,"Comedy, Crime",8.6,Not Rated,Kartal Tibet,"Kemal Sunal, Nevra Serezli, Kadir Savun, Bülent Kayabas",9729,1980,0.0,Comedy
Spirited Away,125,"Animation, Adventure, Family",8.6,PG,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",719849,2001,10.06,Animation
Chithram,159,"Comedy, Drama, Musical",8.6,Not Rated,Priyadarshan,"Mohanlal, Nedumudi Venu, Renjini, Poornam Vishwanathan",5289,1988,0.0,Comedy
Saving Private Ryan,169,"Drama, War",8.6,R,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns",1329508,1998,216.54,Drama
The Green Mile,189,"Crime, Drama, Fantasy",8.6,R,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",1239846,1999,136.8,Crime
Life Is Beautiful,116,"Comedy, Drama, Romance",8.6,PG-13,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",669225,1997,57.6,Comedy
Se7en,127,"Crime, Drama, Mystery",8.6,R,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",1562961,1995,100.13,Crime
The Silence of the Lambs,118,"Crime, Drama, Thriller",8.6,R,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons",1368805,1991,130.74,Crime
Hanky Panky,120,"Comedy, Romance",8.6,Not Rated,Hrishikesh Mukherjee,"Amol Palekar, Bindiya Goswami, Deven Verma, Shubha Khote",18900,1979,0.0,Comedy
Star Wars: Episode IV - A New Hope,121,"Action, Adventure, Fantasy",8.6,PG,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",1307045,1977,322.74,Action
Hara-Kiri,133,"Action, Drama, Mystery",8.6,Not Rated,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",52500,1962,0.0,Action
The Human Condition I: No Greater Love,208,"Drama, History, War",8.6,Not Rated,Masaki Kobayashi,"Tatsuya Nakadai, Michiyo Aratama, Chikage Awashima, Ineko Arima",7689,1959,0.0,Drama
Seven Samurai,207,"Action, Drama",8.6,Not Rated,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",335953,1954,0.27,Action
It's a Wonderful Life,130,"Comedy, Drama, Family",8.6,PG,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",440373,1946,0.0,Comedy
Kaithi,145,"Action, Crime, Thriller",8.5,Not Rated,Lokesh Kanagaraj,"Karthi, Narain, Ramana, George Maryan",21369,2019,0.0,Action
Mahanati,177,"Biography, Drama",8.5,Not Rated,Nag Ashwin,"Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu, Vijay Deverakonda",11937,2018,0.0,Biography
96,158,"Drama, Romance",8.5,Not Rated,C. Prem Kumar,"Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan",27717,2018,0.0,Drama
Vada Chennai,164,"Action, Crime, Drama",8.5,Not Rated,Vetrimaaran,"Dhanush, Ameer Sultan, Radha Ravi, Daniel Balaji",15882,2018,0.0,Action
Aruvi,130,Drama,8.5,Not Rated,Arun Prabhu Purushothaman,"Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony, Arnold",12766,2016,0.0,Drama
Visaaranai,117,"Crime, Drama, Thriller",8.5,Not Rated,Vetrimaaran,"Dinesh, Samuthirakani, Anandhi, Murugadass",10236,2015,0.0,Crime
Our Story,97,"Action, Drama",8.5,Not Rated,Yasin Uslu,"Cansel Elcin, Luk Piyes, Sera Tokdemir, Naz Elmas",18010,2015,0.0,Action
Whiplash,106,"Drama, Music",8.5,R,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",793311,2014,13.09,Drama
The Intouchables,112,"Biography, Comedy, Drama",8.5,R,Olivier Nakache,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",820919,2011,13.18,Biography
Mandela,140,"Comedy, Drama",8.5,Not Rated,Madonne Ashwin,"Yogi Babu, Sheela Rajkumar, Sangili Murugan, Mukesh",6434,2021,0.0,Comedy
The Prestige,130,"Drama, Mystery, Thriller",8.5,PG-13,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",1278599,2006,53.09,Drama
Pudhu Pettai,168,"Action, Crime, Drama",8.5,Not Rated,K. Selvaraghavan,"Dhanush, Sneha, Sonia Agarwal, Azhagam Perumal",6246,2006,0.0,Action
The Lizard,115,"Comedy, Drama",8.5,Not Rated,Kamal Tabrizi,"Parviz Parastui, Bahram Ebrahimi, Shahrokh Foroutanian, Farideh Sepah Mansour",19150,2004,0.0,Comedy
The Departed,151,"Crime, Drama, Thriller",8.5,R,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",1271458,2006,132.38,Crime
Black Friday,143,"Action, Crime, Drama",8.5,Not Rated,Anurag Kashyap,"Kay Kay Menon, Pawan Malhotra, Aditya Srivastav, Dibyendu Bhattacharya",20413,2004,0.03,Action
"When I Grow Up, I'll Be a Kangaroo",92,Comedy,8.5,Not Rated,Radivoje Andric,"Sergej Trifunovic, Marija Karan, Nebojsa Glogovac, Boris Milivojevic",10498,2004,0.0,Comedy
The Best of Youth,366,"Drama, Romance",8.5,R,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca, Adriana Asti",21719,2003,0.25,Drama
The Professional,104,"Comedy, Drama",8.5,Not Rated,Dusan Kovacevic,"Bora Todorovic, Branislav Lecic, Natasa Ninkovic, Dragan Jovanovic",6608,2003,0.0,Comedy
Philanthropy,110,"Comedy, Drama",8.5,Not Rated,Nae Caranfil,"Mircea Diaconu, Gheorghe Dinica, Mara Nicolescu, Viorica Voda",12979,2002,0.0,Comedy
Laughing Eyes,97,"Comedy, Drama, Family",8.5,Not Rated,Ertem Egilmez,"Münir Özkul, Adile Nasit, Halit Akçatepe, Müjde Ar",7047,1977,0.0,Comedy
The Pianist,150,"Biography, Drama, Music",8.5,R,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",794763,2002,32.57,Biography
Mr. Muhsin,119,"Comedy, Drama, Music",8.5,Not Rated,Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç, Osman Cavci",10726,1987,0.0,Comedy
Gladiator,155,"Action, Adventure, Drama",8.5,R,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",1437090,2000,187.71,Action
American History X,119,Drama,8.5,R,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",1087203,1998,6.72,Drama
Iruvar,140,"Biography, Drama",8.5,Not Rated,Mani Ratnam,"Mohanlal, Prakash Raj, Aishwarya Rai Bachchan, Gautami",5919,1997,0.0,Biography
The Usual Suspects,106,"Crime, Drama, Mystery",8.5,R,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",1051077,1995,23.34,Crime
Léon: The Professional,110,"Action, Crime, Drama",8.5,R,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",1113123,1994,19.5,Action
The Lion King,88,"Animation, Adventure, Drama",8.5,G,Roger Allers,"Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",1011112,1994,422.78,Animation
Terminator 2: Judgment Day,137,"Action, Sci-Fi",8.5,R,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",1057243,1991,204.84,Action
Thalapathi,157,"Action, Crime, Drama",8.5,Not Rated,Mani Ratnam,"Rajinikanth, Mammootty, Shobana, Arvind Swamy",11694,1991,0.0,Action
Cinema Paradiso,155,"Drama, Romance",8.5,R,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli",251751,1988,11.99,Drama
Grave of the Fireflies,89,"Animation, Drama, War",8.5,Not Rated,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",262175,1988,0.0,Animation
Back to the Future,116,"Adventure, Comedy, Sci-Fi",8.5,PG,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",1145349,1985,210.61,Adventure
The Elusive Summer of '68,91,"Comedy, Drama, Romance",8.5,Not Rated,Goran Paskaljevic,"Slavko Stimac, Danilo 'Bata' Stojkovic, Mira Banjac, Mija Aleksic",5387,1984,0.0,Comedy
The Pinchcliffe Grand Prix,88,"Animation, Comedy, Family",8.5,G,Ivo Caprino,"Wenche Foss, Per Theodor Haugen, Harald Heide-Steen Jr., Leif Juster",13193,1975,0.0,Animation
Michael the Brave,203,"Action, Biography, Drama",8.5,Not Rated,Sergiu Nicolaescu,"Amza Pellea, Ion Besoiu, Olga Tudorache, Irina Gardescu",6310,1971,0.0,Action
Once Upon a Time in the West,165,Western,8.5,PG-13,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",320588,1968,5.32,Western
Operation 'Y' & Other Shurik's Adventures,95,"Comedy, Crime, Drama",8.5,TV-G,Leonid Gaidai,"Aleksandr Demyanenko, Mikhail Pugovkin, Aleksei Smirnov, Vladimir Basov",13019,1965,0.0,Comedy
Woman in the Dunes,147,"Drama, Thriller",8.5,Not Rated,Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Hiroko Itô, Kôji Mitsui",19364,1964,0.0,Drama
Le Trou,131,"Crime, Drama, Thriller",8.5,Not Rated,Jacques Becker,"André Bervil, Jean Keraudy, Michel Constantin, Philippe Leroy",17342,1960,0.03,Crime
Psycho,109,"Horror, Mystery, Thriller",8.5,R,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",646365,1960,32.0,Horror
The Human Condition II: Road to Eternity,181,"Drama, History, War",8.5,Not Rated,Masaki Kobayashi,"Tatsuya Nakadai, Michiyo Aratama, Kokinji Katsura, Jun Tatara",6183,1959,0.0,Drama
The World of Apu,105,Drama,8.5,Not Rated,Satyajit Ray,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty, Swapan Mukherjee",14084,1959,0.02,Drama
Pyaasa,146,"Drama, Musical, Romance",8.5,Not Rated,Guru Dutt,"Guru Dutt, Waheeda Rehman, Mala Sinha, Rehman Khan",6243,1957,0.0,Drama
Rear Window,112,"Mystery, Thriller",8.5,PG,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",476011,1954,36.76,Mystery
Casablanca,102,"Drama, Romance, War",8.5,PG,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",554423,1942,1.02,Drama
Modern Times,87,"Comedy, Drama, Romance",8.5,G,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",234664,1936,0.16,Comedy
City Lights,87,"Comedy, Drama, Romance",8.5,G,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers",179966,1931,0.02,Comedy
Little Baby,105,Family,8.4,Not Rated,Shekhar S. Jha,"Priyanshu Chatterjee, Gulnaz Siganporia, Shivani Mahajan, Ravi Khanna",6604,2019,0.0,Family
Hamilton,160,"Biography, Drama, History",8.4,PG-13,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry",83254,2020,0.0,Biography
Capernaum,126,Drama,8.4,R,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",82217,2018,1.66,Drama
Rangasthalam 1985,170,"Action, Drama",8.4,Not Rated,Sukumar,"Ram Charan, Samantha Ruth Prabhu, Aadhi, Jagapathi Babu",22521,2018,3.51,Action
Joker,122,"Crime, Drama, Thriller",8.4,R,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",1147984,2019,335.45,Crime
Raatchasan,170,"Crime, Drama, Mystery",8.4,Not Rated,Ram Kumar,"Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan",38041,2018,0.0,Crime
Super Deluxe,176,"Comedy, Crime, Drama",8.4,Not Rated,Thiagarajan Kumararaja,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan",13682,2019,0.0,Comedy
Scenes from a Marriage,169,Drama,8.4,PG,Ingmar Bergman,"Liv Ullmann, Erland Josephson, Bibi Andersson, Gunnel Lindblom",6395,1974,0.68,Drama
Ayla: The Daughter of War,125,"Biography, Drama, History",8.4,Not Rated,Can Ulkay,"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol",38283,2017,0.0,Biography
Your Name.,106,"Animation, Drama, Fantasy",8.4,PG,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki",242224,2016,5.02,Animation
Dangal,161,"Action, Biography, Drama",8.4,Not Rated,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",178578,2016,12.39,Action
Thani Oruvan,160,"Action, Crime, Thriller",8.4,Not Rated,Mohan Raja,"Jayam Ravi, Arvind Swamy, Nayanthara, Nassar",19324,2015,0.0,Action
Spider-Man: Into the Spider-Verse,117,"Animation, Action, Adventure",8.4,PG,Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",472175,2018,190.24,Animation
Papanasam,179,"Drama, Thriller",8.4,Not Rated,Jeethu Joseph,"Kamal Haasan, Gautami, Nivetha Thomas, Esther Anil",7152,2015,0.0,Drama
